sfari_humanID,sfari_geneticCategory,sfari_geneScore,sfari_syndromic,sfari_numberReports
ENSG00000153187,"Rare Single Gene Mutation, Syndromic, Functional",1,1,29
ENSG00000134184,Genetic Association,3,0,3
ENSG00000206503,Genetic Association,3,0,10
ENSG00000234745,Genetic Association,3,0,5
ENSG00000196126,Genetic Association,3,0,11
ENSG00000204632,Genetic Association,3,0,4
ENSG00000205581,Genetic Association,2,0,1
ENSG00000138668,Rare Single Gene Mutation,S,1,4
ENSG00000169813,Rare Single Gene Mutation,2,0,3
ENSG00000165119,"Rare Single Gene Mutation, Syndromic",S,1,11
ENSG00000125944,Rare Single Gene Mutation,S,1,5
ENSG00000152413,"Rare Single Gene Mutation, Functional",3,0,6
ENSG00000105991,"Rare Single Gene Mutation, Syndromic, Genetic Association",S,1,15
ENSG00000174775,"Rare Single Gene Mutation, Syndromic, Genetic Association",1,0,12
ENSG00000249853,Genetic Association,3,0,7
ENSG00000117594,Syndromic,3,0,8
ENSG00000135312,"Rare Single Gene Mutation, Genetic Association",3,0,6
ENSG00000166736,"Rare Single Gene Mutation, Genetic Association, Functional",3,0,7
ENSG00000178084,"Rare Single Gene Mutation, Genetic Association",3,0,6
ENSG00000086758,"Rare Single Gene Mutation, Syndromic",S,1,21
ENSG00000157423,"Rare Single Gene Mutation, Genetic Association",3,0,3
ENSG00000003147,Rare Single Gene Mutation,2,0,8
ENSG00000115590,Rare Single Gene Mutation,3,0,6
ENSG00000169306,Rare Single Gene Mutation,3,0,24
ENSG00000189108,"Rare Single Gene Mutation, Genetic Association",3,0,2
ENSG00000143621,Rare Single Gene Mutation,2,0,5
ENSG00000184903,"Rare Single Gene Mutation, Genetic Association, Functional",3,0,14
ENSG00000151689,"Rare Single Gene Mutation, Genetic Association",3,0,4
ENSG00000164880,"Rare Single Gene Mutation, Syndromic",S,1,4
ENSG00000102786,Rare Single Gene Mutation,2,0,4
ENSG00000183856,Rare Single Gene Mutation,3,0,4
ENSG00000124313,"Rare Single Gene Mutation, Syndromic, Functional",1,1,37
ENSG00000119669,"Rare Single Gene Mutation, Syndromic",1,1,8
ENSG00000259207,"Rare Single Gene Mutation, Genetic Association",2,0,16
