"refseq"	"group"
"NM_028888"	"Depleted"
"NM_028888"	"Depleted"
"NM_028888"	"Depleted"
"NM_010929"	"Enriched"
"NM_010929"	"Enriched"
"NM_010929"	"Enriched"
"NM_010929"	"Enriched"
"NM_010929"	"Enriched"
"NM_010929"	"Enriched"
"NM_010929"	"Enriched"
"NM_010929"	"Enriched"
"NM_010929"	"Enriched"
"NM_010929"	"Enriched"
"NM_010929"	"Enriched"
"NM_010929"	"Enriched"
"NM_001378795"	"Depleted"
"NM_001378795"	"Depleted"
"NM_001378795"	"Depleted"
"NM_001362645"	"Depleted"
"NM_001362645"	"Depleted"
"NM_001362645"	"Depleted"
"NM_001362644"	"Depleted"
"NM_001362644"	"Depleted"
"NM_001362644"	"Depleted"
"NM_133779"	"Depleted"
"NM_133779"	"Depleted"
"NM_133779"	"Depleted"
"NM_001378795"	"Depleted"
"NM_001378795"	"Depleted"
"NM_001378795"	"Depleted"
"NM_001362645"	"Depleted"
"NM_001362645"	"Depleted"
"NM_001362645"	"Depleted"
"NM_001362644"	"Depleted"
"NM_001362644"	"Depleted"
"NM_001362644"	"Depleted"
"NM_133779"	"Depleted"
"NM_133779"	"Depleted"
"NM_133779"	"Depleted"
"NM_001378795"	"Depleted"
"NM_001378795"	"Depleted"
"NM_001378795"	"Depleted"
"NM_001362645"	"Depleted"
"NM_001362645"	"Depleted"
"NM_001362645"	"Depleted"
"NM_001362644"	"Depleted"
"NM_001362644"	"Depleted"
"NM_001362644"	"Depleted"
"NM_133779"	"Depleted"
"NM_133779"	"Depleted"
"NM_133779"	"Depleted"
"NM_001362712"	"Depleted"
"NM_001362712"	"Depleted"
"NM_001362712"	"Depleted"
"NM_011396"	"Depleted"
"NM_011396"	"Depleted"
"NM_011396"	"Depleted"
"NM_001362711"	"Depleted"
"NM_001362711"	"Depleted"
"NM_001362711"	"Depleted"
"NM_001362712"	"Depleted"
"NM_001362712"	"Depleted"
"NM_001362712"	"Depleted"
"NM_011396"	"Depleted"
"NM_011396"	"Depleted"
"NM_011396"	"Depleted"
"NM_001362711"	"Depleted"
"NM_001362711"	"Depleted"
"NM_001362711"	"Depleted"
"NM_001362712"	"Depleted"
"NM_001362712"	"Depleted"
"NM_001362712"	"Depleted"
"NM_011396"	"Depleted"
"NM_011396"	"Depleted"
"NM_011396"	"Depleted"
"NM_001362711"	"Depleted"
"NM_001362711"	"Depleted"
"NM_001362711"	"Depleted"
"NM_028312"	"Enriched"
"NM_028312"	"Enriched"
"NM_028312"	"Enriched"
"NM_028312"	"Enriched"
"NM_028312"	"Enriched"
"NM_028312"	"Enriched"
"NM_177766"	"Depleted"
"NM_177766"	"Depleted"
"NM_177766"	"Depleted"
"NM_025541"	"Enriched"
"NM_025541"	"Enriched"
"NM_025541"	"Enriched"
"NM_025541"	"Enriched"
"NM_025541"	"Enriched"
"NM_025541"	"Enriched"
"NM_025541"	"Enriched"
"NM_025541"	"Enriched"
"NM_025541"	"Enriched"
"NM_025541"	"Enriched"
"NM_025541"	"Enriched"
"NM_025541"	"Enriched"
"NM_025551"	"Enriched"
"NM_025551"	"Enriched"
"NM_025551"	"Enriched"
"NM_001364691"	"Enriched"
"NM_001364691"	"Enriched"
"NM_001364691"	"Enriched"
"NM_025551"	"Enriched"
"NM_025551"	"Enriched"
"NM_025551"	"Enriched"
"NM_001364691"	"Enriched"
"NM_001364691"	"Enriched"
"NM_001364691"	"Enriched"
"NM_025551"	"Enriched"
"NM_025551"	"Enriched"
"NM_025551"	"Enriched"
"NM_001364691"	"Enriched"
"NM_001364691"	"Enriched"
"NM_001364691"	"Enriched"
"NM_001303610"	"Depleted"
"NM_001303610"	"Depleted"
"NM_001303610"	"Depleted"
"NM_008316"	"Depleted"
"NM_008316"	"Depleted"
"NM_008316"	"Depleted"
"NM_001303532"	"Depleted"
"NM_001303532"	"Depleted"
"NM_001303532"	"Depleted"
"NM_001303610"	"Depleted"
"NM_001303610"	"Depleted"
"NM_001303610"	"Depleted"
"NM_008316"	"Depleted"
"NM_008316"	"Depleted"
"NM_008316"	"Depleted"
"NM_001303532"	"Depleted"
"NM_001303532"	"Depleted"
"NM_001303532"	"Depleted"
"NM_175001"	"Enriched"
"NM_175001"	"Enriched"
"NM_175001"	"Enriched"
"NM_001282977"	"Depleted"
"NM_001282977"	"Depleted"
"NM_001282978"	"Depleted"
"NM_001282978"	"Depleted"
"NM_001282978"	"Depleted"
"NM_145121"	"Depleted"
"NM_145121"	"Depleted"
"NM_145121"	"Depleted"
"NM_031173"	"Depleted"
"NM_031173"	"Depleted"
"NM_031173"	"Depleted"
"NM_001159319"	"Depleted"
"NM_001159319"	"Depleted"
"NM_001159319"	"Depleted"
"NM_001159320"	"Depleted"
"NM_001159320"	"Depleted"
"NM_001159320"	"Depleted"
"NM_001282977"	"Depleted"
"NM_001282977"	"Depleted"
"NM_001282978"	"Depleted"
"NM_001282978"	"Depleted"
"NM_001282978"	"Depleted"
"NM_145121"	"Depleted"
"NM_145121"	"Depleted"
"NM_145121"	"Depleted"
"NM_031173"	"Depleted"
"NM_031173"	"Depleted"
"NM_031173"	"Depleted"
"NM_001159319"	"Depleted"
"NM_001159319"	"Depleted"
"NM_001159319"	"Depleted"
"NM_001159320"	"Depleted"
"NM_001159320"	"Depleted"
"NM_001159320"	"Depleted"
"NM_001282977"	"Depleted"
"NM_001282977"	"Depleted"
"NM_001282978"	"Depleted"
"NM_001282978"	"Depleted"
"NM_001282978"	"Depleted"
"NM_145121"	"Depleted"
"NM_145121"	"Depleted"
"NM_145121"	"Depleted"
"NM_031173"	"Depleted"
"NM_031173"	"Depleted"
"NM_031173"	"Depleted"
"NM_001159319"	"Depleted"
"NM_001159319"	"Depleted"
"NM_001159319"	"Depleted"
