motif_id	motif_rbps	absolute_hits	relative_hits	total_sites	one_hit	two_hits	three_hits	four_hits	five_hits	more_hits
M207_0.6	PCBP4, PCBP3	14351	0.000520540304223181	27569431	4396	2025	870	400	175	164
M209_0.6	RBM45	909	3.29485565378744e-05	27588462	750	69	7	0	0	0
M210_0.6	HNRPDL	5479	0.00019859751514963	27588462	3033	752	162	74	8	24
M211_0.6	PCBP4, PCBP3	10090	0.000365732602274096	27588462	4043	1579	504	203	60	53
M227_0.6	PTBP1, PTBP2, ROD1	26167	0.00094847621444066	27588462	4329	2483	1523	972	589	1094
M228_0.6	PTBP1, PTBP2, ROD1	20842	0.000755460742972914	27588462	4423	2347	1302	716	379	612
M229_0.6	CELF3	27729	0.0010050940860712	27588462	3489	2064	1172	809	607	2065
M231_0.6	EIF2S1	8150	0.000295413350697114	27588462	3558	1176	404	162	50	26
M232_0.6	ELAVL1, ELAVL3	37081	0.00134407637511653	27588462	1403	1391	1054	756	713	4629
M234_0.6	RBM47	6066	0.000219874525807202	27588462	3151	899	194	75	19	28
M235_0.6	RBM47	5211	0.000188883309261676	27588462	3027	712	143	44	17	14
M236_0.6	HNRNPR, SYNCRIP	14141	0.000512569348737164	27588462	3988	1799	874	402	224	241
M238_0.6	RBM38	17870	0.000647734549319929	27588462	3417	1527	735	416	339	1167
M240_0.6	RBM38	18807	0.00068216859462932	27569431	3845	1616	907	416	254	1215
M242_0.6	HNRNPR, SYNCRIP	8973	0.000325244662061988	27588462	3511	1275	478	187	85	61
M243_0.6	HNRNPR, SYNCRIP	20952	0.000759447917031402	27588462	4102	2121	1222	733	428	774
M250_0.6	CSDA	5861	0.000212297406027066	27607497	3246	775	219	67	23	5
M254_0.6	CSDA	5861	0.000212297406027066	27607497	3246	775	219	67	23	5
M260_0.6	CSDA	3236	0.000117782719200429	27474319	2267	386	53	7	1	1
M261_0.6	SF3B4	10340	0.000374535945797622	27607497	4313	1481	499	227	76	56
M334_0.6	SRSF4, SRSF6	2769	0.0001010646498411	27398304	2085	255	44	8	0	2
1004_8676391	NCL	3849	0.00014058059603543	27379312	2604	415	96	23	3	4
1169_19561594	SFRS13A	9479	0.000343585662731036	27588462	4158	1376	498	155	61	30
1171_19561594	PTBP1	20427	0.000744524535412972	27436302	4518	2339	1233	648	362	626
1174_19561594	KHDRBS3	11324	0.000410178438124977	27607497	3549	1420	620	310	156	211
1175_19561594	SNRPA	6450	0.000233793387975017	27588462	3677	848	233	62	13	13
1177_19561594	YBX1	2276	8.24413745295345e-05	27607497	1709	217	34	4	0	3
1213_8021254	ACO1	10170	0.00036837819813944	27607497	4196	1477	499	227	79	44
1215_16041388	QKI	6622	0.000240525573440281	27531376	3361	866	269	98	33	33
1216_19457263	KHDRBS3	11038	0.000402871652201538	27398304	4156	1443	556	282	126	114
1285_19304800	ZRANB2	5394	0.000195381710989591	27607497	2882	807	177	48	27	8
147_19457263	KHDRBS3	23540	0.000858581927572596	27417302	4172	2126	1371	807	492	1063
